     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum            CV_value           Inst_Bias            Tot_Bias
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs                                  kJ/mol              kJ/mol
      75           44.47508286          8.64856082         35.82652204        381.64064059         49.53251464       8045.82664585          0.00000000          1.13738829          0.00000000          0.00000000
      76           44.50600210          8.17661599         36.32938611        389.58940727         46.82956617       8011.51683525          0.00000000          1.13749171          0.00000000          0.00000000
      77           44.53861426          7.74371934         36.79489492        396.80606101         44.35025661       7992.06119830          0.00000000          1.13758337          0.00000000          0.00000000
      78           44.57280598          7.35525897         37.21754701        403.24697811         42.12544495       7988.95601589          0.00000000          1.13766307          0.00000000          0.00000000
      79           44.60844776          7.01619759         37.59225017        408.87346299         40.18355387       8003.55888720          0.00000000          1.13773061          0.00000000          0.00000000
      80           44.64539530          6.73100981         37.91438549        413.65154779         38.55021072       8037.07116459          0.00000000          1.13778582          0.00000000          0.00000000
      81           44.68349122          6.50362512         38.17986610        417.55183445         37.24792058       8090.52199472          0.00000000          1.13782857          0.00000000          0.00000000
      82           44.72256675          6.33737706         38.38518969        420.54937160         36.29577550       8164.75416677          0.00000000          1.13785874          0.00000000          0.00000000
      83           44.76244369          6.23495943         38.52748427        422.62356000         35.70920358       8260.41194855          0.00000000          1.13787623          0.00000000          0.00000000
      84           44.80293645          6.19838999         38.60454646        423.75808154         35.49976110       8377.93106809          0.00000000          1.13788098          0.00000000          0.00000000
      85           44.84385415          6.22898217         38.61487198        423.94084792         35.67497034       8517.53097327          0.00000000          1.13787294          0.00000000          0.00000000
      86           44.88500290          6.32732510         38.55767780        423.16396642         36.23820538       8679.20947573          0.00000000          1.13785210          0.00000000          0.00000000
      87           44.92618798          6.49327229         38.43291569        421.42372076         37.18862725       8862.73985686          0.00000000          1.13781846          0.00000000          0.00000000
      88           44.96721614          6.72593911         38.24127703        418.72056648         38.52116953       9067.67048484          0.00000000          1.13777206          0.00000000          0.00000000
      89           45.00789789          7.02370919         37.98418870        415.05914087         40.22657473       9293.32696189          0.00000000          1.13771295          0.00000000          0.00000000
      90           45.04804966          7.38424951         37.66380014        410.44828885         42.29148118       9538.81679055          0.00000000          1.13764123          0.00000000          0.00000000
      91           45.08749600          7.80453433         37.28296167        404.90110708         44.69855957       9803.03651786          0.00000000          1.13755700          0.00000000          0.00000000
      92           45.12607164          8.28087736         36.84519429        398.43501032         47.42669763      10084.68128653          0.00000000          1.13746040          0.00000000          0.00000000
      93           45.16362346          8.80897209         36.35465136        391.07182553         50.45123094      10382.25669305          0.00000000          1.13735159          0.00000000          0.00000000
      94           45.20001223          9.38393969         35.81607254        382.83792145         53.74421708      10694.09282495          0.00000000          1.13723077          0.00000000          0.00000000
      95           45.23511435         10.00038388         35.23473048        373.76438422         57.27475024      11018.36032286          0.00000000          1.13709813          0.00000000          0.00000000
      96           45.26882326         10.65245225         34.61637101        363.88725318         61.00931219      11353.08828828          0.00000000          1.13695392          0.00000000          0.00000000
      97           45.30105071         11.33390324         33.96714748        353.24783598         64.91215588      11696.18383549          0.00000000          1.13679840          0.00000000          0.00000000
      98           45.33172782         12.03817795         33.29354987        341.89312830         68.94571688      12045.45306549          0.00000000          1.13663186          0.00000000          0.00000000
      99           45.36080588         12.75847604         32.60232984        329.87637258         73.07104783      12398.62322256          0.00000000          1.13645459          0.00000000          0.00000000
     100           45.38825695         13.48783465         31.90042230        317.25780111         77.24827069      12753.36577884          0.00000000          1.13626693          0.00000000          0.00000000
     101           45.41407416         14.21920957         31.19486459        304.10562485         81.43704145      13107.32018066          0.00000000          1.13606922          0.00000000          0.00000000
     102           45.43827180         14.94555752         30.49271427        290.49734858         85.59702155      13458.11798187          0.00000000          1.13586184          0.00000000          0.00000000
     103           45.46088513         15.65991872         29.80096641        276.52151870         89.68835043      13803.40708368          0.00000000          1.13564518          0.00000000          0.00000000
