istep  E_tot                                     E_kin                                    E_pot                F_norm                Temp                   Pressure              COM_momentum  CV_value     Inst_Bias     Tot_Bias
none   kJ/mol                                    kJ/mol                                   kJ/mol               kJ/(Åmol)             K                      Pa                    gÅ/fs         kJ/mol       kJ/mol
91     105.42141149                              43.86078278                              61.56062871          495.64885918          159.85575123           -988720.59605052      0.00000000    0.58149675   0.00000000    0.00000000
92     105.53553003                              44.69022711                              60.84530292          487.53382552          162.87875810           -967029.81482991      0.00000000    0.58128076   0.00000000    0.00000000
93     105.64899758                              45.58490273                              60.06409485          478.57147877          166.13950798           -947492.85175639      0.00000000    0.58103845   0.00000000    0.00000000
94     105.76164374                              46.53829391                              59.22334982          468.79849778          169.61425363           -930264.74675488      0.00000000    0.58076997   0.00000000    0.00000000
95     105.87331585                              47.54322448                              58.33009137          458.25856446          173.27684058           -915501.87660621      0.00000000    0.58047550   0.00000000    0.00000000
96     105.98388079                              48.59193260                              57.39194819          447.00284248          177.09897994           -903360.47893472      0.00000000    0.58015525   0.00000000    0.00000000
97     106.09322654                              49.67615297                              56.41707357          435.09057098          181.05054786           -893995.07658369      0.00000000    0.57980947   0.00000000    0.00000000
98     106.20126345                              50.78720526                              55.41405819          422.58979604          185.09990783           -887556.82004055      0.00000000    0.57943843   0.00000000    0.00000000
99     106.30792530                              51.91608784                              54.39183746          409.57826412          189.21425239           -884191.76689668      0.00000000    0.57904245   0.00000000    0.00000000
100    106.41317001                              53.05357574                              53.35959427          396.14450162          193.35996003           -884039.11841525      0.00000000    0.57862187   0.00000000    0.00000000
101    106.51698012                              54.19032154                              52.32665858          382.38910004          197.50296304           -887229.43412128      0.00000000    0.57817705   0.00000000    0.00000000
102    106.61936290                              55.31695822                              51.30240469          368.42621358          201.60912212           -893882.84590823      0.00000000    0.57770840   0.00000000    0.00000000
103    106.72035022                              56.42420245                              50.29614777          354.38524969          205.64460319           -904107.29346743      0.00000000    0.57721635   0.00000000    0.00000000
104    106.81999804                              57.50295744                              49.31704060          340.41268471          209.57625189           -917996.80288669      0.00000000    0.57670137   0.00000000    0.00000000
105    106.91838570                              58.54441383                              48.37397187          326.67385379          213.37196147           -935629.83002961      0.00000000    0.57616395   0.00000000    0.00000000
106    107.01561485                              59.54014757                              47.47546728          313.35443418          217.00102953           -957067.68980370      0.00000000    0.57560460   0.00000000    0.00000000
107    107.11180812                              60.48221363                              46.62959449          300.66115217          220.43449942           -982353.09165567      0.00000000    0.57502388   0.00000000    0.00000000
108    107.20710752                              61.36323429                              45.84387323          288.82100128          223.64548225           -1011508.80060986     0.00000000    0.57442235   0.00000000    0.00000000
109    107.30167264                              62.17648118                              45.12519146          278.07800585          226.60945563           -1044536.44190125     0.00000000    0.57380062   0.00000000    0.00000000
110    107.39567857                              62.91594982                              44.47972876          268.68641041          229.30453552           -1081415.46576496     0.00000000    0.57315931   0.00000000    0.00000000
111    107.48931368                              63.57642597                              43.91288771          260.89932432          231.71171807           -1122102.28724950     0.00000000    0.57249907   0.00000000    0.00000000
112    107.58277717                              64.15354295                              43.42923422          254.95255377          233.81508839           -1166529.61404208     0.00000000    0.57182058   0.00000000    0.00000000
113    107.67627656                              64.64382917                              43.03244739          251.04474984          235.60199386           -1214605.97325313     0.00000000    0.57112452   0.00000000    0.00000000
114    107.77002499                              65.04474538                              42.72527960          249.31684810          237.06317987           -1266215.44593548     0.00000000    0.57041160   0.00000000    0.00000000
115    107.86423849                              65.35471115                              42.50952734          249.83526206          238.19288635           -1321217.61583034     0.00000000    0.56968257   0.00000000    0.00000000
116    107.95913321                              65.57312027                              42.38601294          252.58333207          238.98890393           -1379447.73647308     0.00000000    0.56893817   0.00000000    0.00000000
117    108.05492263                              65.70034492                              42.35457771          257.46357488          239.45258905           -1440717.11838181     0.00000000    0.56817916   0.00000000    0.00000000
118    108.15181477                              65.73772850                              42.41408627          264.31003369          239.58883786           -1504813.73562215     0.00000000    0.56740633   0.00000000    0.00000000
119    108.25000948                              65.68756721                              42.56244227          272.90715018          239.40601919           -1571503.04862056     0.00000000    0.56662047   0.00000000    0.00000000
120    108.34969588                              65.55308072                              42.79661516          283.01044553          238.91586743           -1640529.03771683     0.00000000    0.56582238   0.00000000    0.00000000
121    108.45104980                              65.33837203                              43.11267777          294.36505456          238.13333652           -1711615.43963096     0.00000000    0.56501289   0.00000000    0.00000000
122    108.55423147                              65.04837732                              43.50585414          306.71991999          237.07641689           -1784467.17679718     0.00000000    0.56419282   0.00000000    0.00000000
123    108.65938337                              64.68880609                              43.97057728          319.83717461          235.76591750           -1858771.96741617     0.00000000    0.56336301   0.00000000    0.00000000
124    108.76662828                              64.26607252                              44.50055575          333.49734725          234.22521559           -1934202.10211673     0.00000000    0.56252427   0.00000000    0.00000000
125    108.87606756                              63.78721878                              45.08884878          347.50147196          232.47997713           -2010416.37132405     0.00000000    0.56167747   0.00000000    0.00000000
126    108.98777971                              63.25983118                              45.72794853          361.67117466          230.55785135           -2087062.12582267     0.00000000    0.56082344   0.00000000    0.00000000
127    109.10181916                              62.69195027                              46.40986889          375.84759875          228.48814299           -2163777.45159332     0.00000000    0.55996302   0.00000000    0.00000000
128    109.21821539                              62.09197587                              47.12623952          389.88977452          226.30146614           -2240193.43881292     0.00000000    0.55909705   0.00000000    0.00000000
129    109.33697234                              61.46856819                              47.86840414          403.67281567          224.02938396           -2315936.52394224     0.00000000    0.55822637   0.00000000    0.00000000
130    109.45806807                              60.83054625                              48.62752182          417.08616296          221.70403839           -2390630.88310047     0.00000000    0.55735181   0.00000000    0.00000000
131    109.58145483                              60.18678479                              49.39467004          430.03198662          219.35777446           -2463900.85444289     0.00000000    0.55647420   0.00000000    0.00000000
132    109.70705938                              59.54611090                              50.16094847          442.42379220          217.02276359           -2535373.36702114     0.00000000    0.55559434   0.00000000    0.00000000
133    109.83478357                              58.91720167                              50.91758191          454.18523663          214.73063033           -2604680.35361665     0.00000000    0.55471304   0.00000000    0.00000000
134    109.96450536                              58.30848388                              51.65602148          465.24914148          212.51208720           -2671461.12529294     0.00000000    0.55383110   0.00000000    0.00000000
135    110.09607995                              57.72803727                              52.36804268          475.55668161          210.39658166           -2735364.68590801     0.00000000    0.55294928   0.00000000    0.00000000
136    110.22934135                              57.18350215                              53.04583920          485.05672485          208.41195974           -2796051.96555406     0.00000000    0.55206836   0.00000000    0.00000000
137    110.36410408                              56.68199274                              53.68211133          493.70529930          206.58415007           -2853197.95284213     0.00000000    0.55118906   0.00000000    0.00000000
138    110.50016518                              56.23001715                              54.27014803          501.46516671          204.93687217           -2906493.70710662     0.00000000    0.55031213   0.00000000    0.00000000
139    110.63730641                              55.83340490                              54.80390150          508.30548366          203.49137246           -2955648.23295960     0.00000000    0.54943824   0.00000000    0.00000000
140    110.77529661                              55.49724297                              55.27805365          514.20153501          202.26619098           -2999795.67062307     0.00000000    0.54856809   0.00000000    0.00000000
141    110.91389429                              55.22582096                              55.68807333          519.13452665          201.27696172           -3037136.74135727     0.00000000    0.54770233   0.00000000    0.00000000
142    111.05285022                              55.02258615                              56.03026406          523.09142728          200.53624872           -3069546.31291631     0.00000000    0.54684160   0.00000000    0.00000000
143    111.19191025                              54.89010890                              56.30180135          526.06485072          200.05341989           -3096836.04562348     0.00000000    0.54598648   0.00000000    0.00000000
144    111.33081813                              54.83005874                              56.50075938          528.05297219          199.83456007           -3118842.74093220     0.00000000    0.54513756   0.00000000    0.00000000
145    111.46931832                              54.84319153                              56.62612679          529.05947347          199.88242403           -3135428.97108254     0.00000000    0.54429538   0.00000000    0.00000000
146    111.60715887                              54.92934767                              56.67781120          529.09351288          200.19643017           -3146483.49936089     0.00000000    0.54346045   0.00000000    0.00000000
147    111.74409421                              55.08746155                              56.65663266          528.16971735          200.77269468           -3151921.49077489     0.00000000    0.54263326   0.00000000    0.00000000
148    111.87988788                              55.31558182                              56.56430607          526.30819419          201.60410568           -3151684.51508388     0.00000000    0.54181426   0.00000000    0.00000000
149    112.01431516                              55.61090249                              56.40341267          523.53456122          202.68043641           -3145740.34620989     0.00000000    0.54100385   0.00000000    0.00000000
150    112.14716554                              55.96980426                              56.17736128          519.87999405          203.98849586           -3134082.56407680     0.00000000    0.54020244   0.00000000    0.00000000
151    112.27824504                              56.38790560                              55.89033944          515.38128944          205.51231509           -3116729.96686396     0.00000000    0.53941035   0.00000000    0.00000000
152    112.40737837                              56.86012299                              55.54725538          510.08094366          207.23336658           -3093725.80349629     0.00000000    0.53862790   0.00000000    0.00000000
153    112.53441078                              57.38073947                              55.15367130          504.02724441          209.13081422           -3065136.83790952     0.00000000    0.53785538   0.00000000    0.00000000
154    112.65920975                              57.94348071                              54.71572904          497.27437358          211.18179047           -3031052.25820624     0.00000000    0.53709301   0.00000000    0.00000000
155    112.78166641                              58.54159759                              54.24006882          489.88251727          213.36169738           -2991582.44524508     0.00000000    0.53634099   0.00000000    0.00000000
156    112.90169662                              59.16795434                              53.73374228          481.91797663          215.64452778           -2946857.61646274     0.00000000    0.53559951   0.00000000    0.00000000
157    113.01924181                              59.81512104                              53.20412077          473.45327040          218.00320249           -2897026.36182165     0.00000000    0.53486867   0.00000000    0.00000000
158    113.13426955                              60.47546945                              52.65880010          464.56721547          220.40991946           -2842254.08957450     0.00000000    0.53414858   0.00000000    0.00000000
159    113.24677371                              61.14127085                              52.10550286          455.34496596          222.83651054           -2782721.40049781     0.00000000    0.53343930   0.00000000    0.00000000
160    113.35677443                              61.80479487                              51.55197956          445.87798394          225.25480140           -2718622.40928160     0.00000000    0.53274083   0.00000000    0.00000000
161    113.46431770                              62.45840781                              51.00590989          436.26390589          227.63697019           -2650163.03248431     0.00000000    0.53205317   0.00000000    0.00000000
162    113.56947466                              63.09466956                              50.47480510          426.60625825          229.95590050           -2577559.26225250     0.00000000    0.53137627   0.00000000    0.00000000
163    113.67234063                              63.70642763                              49.96591300          417.01396411          232.18552433           -2501035.44493830     0.00000000    0.53071003   0.00000000    0.00000000
164    113.77303383                              64.28690738                              49.48612645          407.60057251          234.30115066           -2420822.58336515     0.00000000    0.53005434   0.00000000    0.00000000
165    113.87169386                              64.82979715                              49.04189671          398.48313417          236.27977590           -2337156.68091065     0.00000000    0.52940905   0.00000000    0.00000000
166    113.96847991                              65.32932732                              48.63915258          389.78064718          238.10037203           -2250277.14478996     0.00000000    0.52877398   0.00000000    0.00000000
